anios_esc,ingocup,hrsocup,clase2
7,0,0,4
12,18000,84,1
12,0,0,2
9,22900,0,1
0,0,0,0
9,3870,48,1
6,0,0,3
16,0,51,1
12,0,60,1
0,0,0,0
16,0,0,4
0,0,0,4
12,0,0,2
15,0,35,1
0,0,0,0
11,0,0,4
9,7740,48,1
13,0,0,4
4,2000,18,1
16,20500,45,1
6,7224,48,1
11,0,0,4
11,8600,36,1
9,10320,98,1
15,0,0,4
12,0,0,1
12,7056,40,1
0,0,0,0
19,30000,40,1
0,0,0,0
0,0,0,0
12,0,0,4
4,0,0,4
9,0,62,1
14,0,0,4
9,0,0,4
16,13600,48,1
0,0,0,0
9,8600,48,1
17,30000,30,1
0,0,0,0
12,0,0,2
16,19350,70,1
9,0,51,1
9,5160,48,1
5,0,40,1
6,7740,0,1
12,7740,66,1
6,7310,48,1
6,7000,35,1
9,0,84,1
9,0,40,1
9,8000,48,1
10,10750,35,1
11,3870,21,1
5,0,0,4
0,5160,48,1
12,0,48,1
6,0,0,4
0,0,0,0
0,0,0,0
12,0,0,2
9,8600,32,1
16,12000,20,1
12,0,0,4
7,0,0,4
4,3440,23,1
12,6290,40,1
0,0,0,0
11,10000,84,1
16,0,54,1
9,5590,45,1
0,0,0,0
6,0,0,3
0,0,0,0
9,10320,84,1
8,0,0,4
16,0,40,1
9,6450,36,1
17,6000,40,1
0,0,0,0
6,0,0,4
17,17000,54,1
0,208,48,1
9,5160,51,1
2,1075,72,1
0,0,0,0
0,0,0,0
0,0,0,0
9,3870,21,1
0,0,0,0
9,0,0,4
9,1720,12,1
12,0,54,1
17,0,45,1
2,8600,40,1
12,0,50,1
17,0,40,1
17,8600,60,1
12,0,78,1
15,0,0,4
9,2580,18,1
9,5160,0,1
9,8600,46,1
8,0,0,4
12,0,89,1
5,2150,32,1
9,0,46,1
15,4300,25,1
6,8600,36,1
9,0,0,4
0,0,0,0
8,0,36,1
6,0,27,1
9,4300,30,1
6,3440,32,1
8,10750,44,1
1,4644,36,1
0,0,0,0
12,0,0,4
12,8000,75,1
9,0,56,1
3,0,14,1
16,21200,45,1
6,0,27,1
16,0,2,1
6,0,0,4
19,20000,40,1
7,0,84,1
2,0,87,1
0,0,0,0
6,0,0,4
12,0,0,4
9,0,40,1
6,1167,63,1
0,0,0,0
12,7000,40,1
0,0,0,0
12,12900,56,1
9,7740,48,1
0,0,0,0
0,0,0,0
13,0,0,4
0,0,0,0
0,0,0,0
11,0,14,1
9,5160,48,1
6,0,84,1
5,0,36,1
16,0,40,1
11,9890,60,1
11,0,0,4
0,0,0,4
12,0,0,2
0,0,0,0
13,0,0,4
6,5375,16,1
12,8600,60,1
14,0,0,4
16,0,0,4
9,11610,45,1
12,6400,60,1
7,0,0,4
0,0,0,0
0,0,0,0
6,5160,48,1
0,0,0,0
7,0,0,4
6,0,0,4
17,15000,25,1
0,0,0,0
7,12900,48,1
9,3440,24,1
15,0,0,4
7,0,0,4
10,12900,7,1
16,0,0,3
18,0,0,4
9,0,0,3
7,8600,48,1
9,6000,46,1
3,666,42,1
7,1720,8,1
8,5600,45,1
9,12040,44,1
12,0,0,4
9,8600,42,1
12,6450,72,1
1,4300,48,1
9,17200,60,1
9,0,0,4
0,0,0,0
7,0,0,4
0,0,0,0
9,8600,48,1
9,6450,55,1
9,8000,46,1
9,0,16,1
6,3333,25,1
10,0,0,4
9,9890,48,1
6,0,70,1
0,0,0,0
6,0,0,4
0,0,0,0
9,0,48,1
9,0,0,4
0,0,0,0
9,25800,72,1
6,0,35,1
7,6450,34,1
16,10750,30,1
9,12000,70,1
9,10750,48,1
9,0,0,4
1,5833,56,1
3,0,0,4
9,5160,60,1
12,0,0,1
17,0,46,1
17,12000,46,1
0,0,0,3
9,5160,42,1
12,9000,48,1
0,0,0,4
16,0,0,4
9,0,0,4
0,0,0,0
6,0,0,4
9,3000,56,1
9,8600,49,1
15,0,0,3
0,0,0,0
12,7310,12,1
8,0,0,4
12,6450,48,1
16,0,56,1
7,6450,46,1
9,9804,54,1
6,3870,15,1
9,0,0,4
6,0,0,3
0,0,0,0
6,0,0,4
6,6192,45,1
9,6020,50,1
18,10750,40,1
0,0,0,0
17,2150,55,1
0,0,0,0
0,0,0,0
6,4300,88,1
11,8600,48,1
7,9460,0,1
3,0,0,3
9,4300,51,1
9,16000,84,1
12,0,0,2
14,14460,48,1
16,8600,48,1
12,6450,54,1
0,0,0,0
6,0,0,4
17,0,53,1
0,0,0,0
9,18060,54,1
11,10460,45,1
0,0,0,0
7,0,0,4
8,0,0,4
0,0,0,0
1,0,72,1
9,0,12,1
0,0,0,0
0,0,0,0
12,0,72,1
0,0,0,0
6,16125,22,1
6,0,75,1
17,51600,36,1
9,3225,30,1
12,6450,56,1
0,0,0,0
0,0,0,0
16,10000,78,1
0,0,0,0
6,6880,48,1
7,0,0,4
17,10000,40,1
6,5160,48,1
13,0,40,1
0,0,0,0
8,0,0,4
12,9890,56,1
7,0,0,4
0,0,0,0
6,0,70,1
9,2580,16,1
9,3225,43,1
1,0,0,4
13,0,0,4
23,6000,0,1
9,0,50,1
9,0,0,3
17,0,0,4
12,645,48,1
17,0,56,1
0,0,0,0
9,0,0,4
9,0,45,1
6,0,0,4
8,0,0,4
6,7740,40,1
12,10750,48,1
16,0,48,1
7,0,54,1
14,0,0,4
16,0,40,1
8,0,0,4
9,430,14,1
9,0,0,1
16,0,48,1
8,0,0,4
9,774,18,1
15,10750,48,1
8,0,0,3
17,0,45,1
6,9460,66,1
9,6450,42,1
12,6880,84,1
13,0,0,4
0,0,0,0
0,0,0,0
0,0,30,1
6,0,40,1
12,0,0,4
0,0,0,0
17,80000,48,1
12,4300,60,1
0,0,0,0
1,5160,30,1
5,0,0,3
0,0,0,0
6,0,0,3
0,0,0,0
9,0,35,1
16,3096,60,1
16,0,30,1
17,0,0,4
10,0,0,4
17,6800,48,1
12,0,13,1
0,0,0,0
0,0,0,0
10,40000,84,1
9,15910,50,1
6,0,0,4
12,6450,56,1
8,0,30,1
6,8600,39,1
0,1290,28,1
12,0,30,1
17,0,45,1
6,7740,56,1
6,13330,48,1
6,0,56,1
9,0,0,4
6,0,35,1
8,0,0,4
3,6000,54,1
0,0,0,0
0,0,0,0
9,9460,50,1
9,0,60,1
12,0,72,1
10,9675,48,1
0,0,0,0
11,0,48,1
6,0,48,1
6,2500,6,1
12,6450,51,1
12,15050,48,1
12,0,57,1
0,0,0,0
0,0,0,0
11,7740,54,1
4,0,40,1
0,0,0,0
12,25000,54,1
17,14000,48,1
9,8600,42,1
0,0,0,0
9,7740,48,1
12,6450,16,1
6,0,0,2
7,3440,63,1
0,0,0,0
6,5160,48,1
15,0,6,1
16,10320,48,1
17,0,48,1
11,0,0,4
0,0,0,0
4,0,0,4
9,6020,84,1
0,3096,28,1
0,0,0,0
12,11180,54,1
12,10750,84,1
9,0,0,4
0,0,0,3
9,8600,42,1
6,0,52,1
13,0,0,4
0,0,0,0
12,0,48,1
12,7740,48,1
12,5160,42,1
9,2150,56,1
5,0,18,1
11,8600,50,1
0,0,0,0
7,0,0,4
9,0,0,3
12,0,0,4
0,0,0,4
6,0,48,1
12,1720,15,1
6,0,27,1
0,0,0,0
0,0,0,0
0,0,0,0
6,0,15,1
2,0,0,4
13,0,0,4
0,0,0,0
0,0,0,0
0,0,0,0
3,542,36,1
0,0,0,0
15,0,0,4
17,24000,72,1
6,0,56,1
0,0,0,0
6,0,0,4
2,8600,0,1
0,0,0,0
0,0,0,0
14,0,0,3
9,0,49,1
11,17200,40,1
12,6450,40,1
0,1720,15,1
17,1720,44,1
12,6450,36,1
12,0,28,1
9,9030,55,1
9,0,0,4
16,16000,40,1
16,0,0,1
9,0,70,1
9,0,48,1
8,0,21,1
8,0,0,4
8,0,0,4
5,0,0,3
0,0,0,0
9,0,16,1
9,0,21,1
0,0,0,0
16,0,56,1
9,0,56,1
6,6450,48,1
12,0,50,1
0,0,0,0
0,0,0,0
0,0,0,0
17,10000,25,1
12,15050,54,1
0,0,42,1
8,0,0,4
9,3225,21,1
14,0,25,1
6,0,40,1
2,0,60,1
11,0,0,4
12,12900,48,1
9,21500,21,1
0,0,0,0
12,8000,54,1
9,17200,48,1
10,0,0,4
12,0,45,1
9,0,0,4
18,0,0,4
0,0,0,0
9,5160,48,1
9,2580,36,1
6,10750,36,1
0,0,0,0
9,0,0,4
0,0,0,0
6,200,48,1
0,0,0,0
12,11580,48,1
9,10750,48,1
9,0,30,1
17,0,40,1
0,0,0,0
0,0,0,0
0,0,0,0
16,8000,56,1
0,0,0,0
12,0,77,1
12,2580,12,1
0,0,0,0
0,8170,54,1
6,0,0,4
9,0,0,4
9,0,35,1
14,1200,40,1
0,0,0,0
0,0,0,0
12,15000,98,1
9,0,0,4
0,0,0,0
17,0,0,4
6,0,0,4
17,0,40,1
6,0,68,1
2,0,36,1
5,0,2,1
9,0,0,4
10,0,0,4
12,6020,60,1
6,6450,50,1
12,4300,28,1
5,0,0,4
12,0,50,1
6,0,0,4
17,30000,40,1
11,12900,66,1
3,0,0,2
9,0,0,4
9,0,60,1
12,1250,48,1
0,0,0,0
12,0,0,4
12,5800,48,1
9,7740,48,1
8,0,0,3
12,20000,40,1
9,0,0,1
9,0,48,1
99,0,12,1
0,0,0,0
3,0,0,4
6,1290,11,1
8,10750,72,1
9,5160,56,1
12,0,0,4
0,0,0,0
6,0,0,3
4,0,0,4
13,5805,48,1
0,0,0,0
9,34400,72,1
16,0,35,1
6,6000,60,1
10,0,45,1
11,12900,42,1
0,0,0,0
17,0,0,2
17,0,0,3
12,6450,70,1
3,5160,32,1
9,1935,24,1
1,0,0,4
12,9030,48,1
2,7740,52,1
6,0,0,4
9,0,0,4
6,0,0,4
17,0,0,4
12,0,0,4
9,6880,45,1
19,0,0,1
17,20000,48,1
6,21500,40,1
8,0,0,4
0,0,0,0
6,0,72,1
9,8170,42,1
5,0,18,1
6,0,48,1
0,0,49,1
0,0,0,0
9,0,0,4
9,0,80,1
13,0,0,4
6,5160,48,1
0,0,0,0
0,0,0,0
16,0,0,1
6,0,42,1
6,0,0,4
0,0,0,0
17,0,56,1
0,0,0,4
0,0,0,0
0,0,0,0
1,4300,84,1
9,4300,20,1
0,0,0,0
6,0,0,4
12,15050,60,1
17,12600,40,1
9,2150,36,1
10,0,0,4
8,0,0,4
6,0,0,4
9,0,36,1
13,0,0,3
17,10000,60,1
9,6450,56,1
0,0,0,4
12,3440,32,1
9,8600,30,1
0,0,0,0
1,0,0,3
0,0,0,0
14,0,0,4
8,0,0,4
16,20000,0,1
17,14000,72,1
0,0,0,0
16,0,40,1
0,0,0,0
0,0,0,0
4,10750,52,1
0,0,0,4
0,0,0,0
12,0,0,1
9,0,56,1
12,0,84,1
8,0,0,4
6,0,0,4
12,0,0,4
12,10750,45,1
5,0,42,1
0,3225,20,1
12,12000,48,1
9,10000,48,1
9,0,0,4
12,0,45,1
12,10750,48,1
0,0,0,0
12,8600,50,1
15,4000,48,1
13,7525,31,1
9,8600,45,1
99,0,0,4
12,7000,48,1
15,0,44,1
0,0,0,0
12,11000,40,1
0,0,0,0
9,0,0,4
9,0,63,1
10,6000,44,1
14,12900,45,1
14,5160,48,1
0,0,0,0
12,8600,48,1
12,10300,60,1
17,20000,49,1
0,0,0,0
0,0,0,0
0,0,0,0
9,6020,56,1
12,12000,30,1
6,8600,24,1
9,10750,28,1
9,0,0,1
9,10750,54,1
18,30000,45,1
17,0,0,4
0,0,0,0
14,10750,56,1
0,0,0,0
12,21750,45,1
15,0,46,1
6,4300,25,1
10,0,60,1
0,0,0,0
6,6450,56,1
0,0,0,0
6,0,0,4
3,0,0,4
0,0,0,0
5,0,0,4
0,0,0,0
4,0,42,1
8,8565,55,1
0,0,0,4
16,0,48,1
0,0,0,0
12,9460,6,1
6,0,0,4
9,14000,54,1
9,3870,24,1
9,8600,40,1
9,4300,34,1
12,7740,72,1
9,10750,66,1
9,0,9,1
2,0,0,4
12,6000,82,1
6,0,0,4
17,10000,36,1
11,0,48,1
6,6880,60,1
6,0,0,4
13,0,0,4
12,0,45,1
9,0,0,4
7,0,42,1
0,0,0,0
9,0,40,1
12,0,60,1
8,0,0,4
0,0,0,0
9,9030,45,1
12,0,63,1
9,0,42,1
9,6450,48,1
0,0,0,0
9,7083,42,1
9,6500,57,1
0,1500,35,1
12,0,24,1
9,10320,46,1
8,0,20,1
